facility_id,facility_name,facility_type,district,mandal,village,latitude,longitude,department,source_layer,record_completeness_pct
TG-10-2,AH Boath,Area Hospital,Adilabad,Boath,Boath Buzurg,19.347226,78.316167,TVVP,Area Hospital,100.0
TG-10-1,AH Utnoor,Area Hospital,Adilabad,Utnur,Lakkaram,19.368639,78.785096,TVVP,Area Hospital,100.0
TG-13-3,Anukunta Muncipal Building BDK,Basti Dawakhana,Adilabad,Adilabad Rural,Anukunta,19.675878,78.563832,,Basti Dawakhana,100.0
TG-13-2,KRK Colony kastala Rama krishna colony,Basti Dawakhana,Adilabad,Mavala,Dasnapur,19.646923,78.535771,,Basti Dawakhana,100.0
TG-16-1,CHC Narnoor,Community Health Centre,Adilabad,Narnoor,Bheempur,19.503403,78.862545,TVVP,Community Health Centre,100.0
TG-17-247,"Primary Health Centre, Ankoli",Primary Health Centre,Adilabad,Adilabad Rural,Ankoli,19.610367,78.57194,,Primary Health Centre,100.0
TG-17-177,"Primary Health Centre, Bazarhathnoor",Primary Health Centre,Adilabad,Bazarhathnoor,Bazarhathnoor,19.459095,78.350322,,Primary Health Centre,100.0
TG-17-294,"Primary Health Centre, Bela",Primary Health Centre,Adilabad,Bela,Bela,19.718253,78.771438,,Primary Health Centre,100.0
TG-17-198,"Primary Health Centre, Bheempur T",Primary Health Centre,Adilabad,Bheempoor,Bheempoor,19.773134,78.422056,,Primary Health Centre,100.0
TG-17-309,"Primary Health Centre, Danthanpally",Primary Health Centre,Adilabad,Utnur,Danthanpalle,19.328642,78.81862,,Primary Health Centre,100.0
TG-17-331,"Primary Health Centre, Gadiguda",Primary Health Centre,Adilabad,Gadiguda,Gadiguda,19.611255,78.906369,,Primary Health Centre,100.0
TG-17-237,"Primary Health Centre, Gimma",Primary Health Centre,Adilabad,Bhoraj,Gimma Khurd,19.774424,78.542239,,Primary Health Centre,100.0
TG-17-224,"Primary Health Centre, Gudihathnoor",Primary Health Centre,Adilabad,Gudihathnur,Gudihathinur,19.528776,78.510463,,Primary Health Centre,100.0
TG-17-308,"Primary Health Centre, Hasnapur",Primary Health Centre,Adilabad,Utnur,Hasnapur,19.421587,78.816142,,Primary Health Centre,100.0
TG-17-209,"Primary Health Centre, Ichoda",Primary Health Centre,Adilabad,Ichoda,Ichoda,19.422302,78.453824,,Primary Health Centre,100.0
TG-17-266,"Primary Health Centre, Indervelly",Primary Health Centre,Adilabad,Inderavelly,Indervelly (B),19.493247,78.669635,,Primary Health Centre,100.0
TG-17-261,"Primary Health Centre, Jainath",Primary Health Centre,Adilabad,Jainad,Jainad,19.730803,78.642789,,Primary Health Centre,100.0
